left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F015,F038,0.21584905660377363,0.0,0.39924528301886797,0.3007547169811321,0.4420754716981132,23,31,55,54,1,1.0
F015,F039,0.2750943396226415,0.0,0.6249056603773585,0.459622641509434,0.5615094339622642,23,34,59,57,2,1.0
F015,F040,0.0811320754716981,0.0,0.08679245283018866,0.16150943396226414,0.5615094339622642,23,27,52,50,2,1.0
F015,F041,0.14943396226415095,0.0,0.25433962264150944,0.20226415094339623,0.7460377358490566,23,21,48,44,4,1.0
F015,F042,0.058113207547169865,0.0,0.042264150943396195,0.10528301886792457,0.27433962264150946,23,26,52,50,2,0.98
F015,F043,0.1384905660377358,0.0,0.17471698113207546,0.20226415094339623,0.16943396226415092,23,30,55,54,1,0.9814814814814815
F015,F044,0.11207547169811316,0.0,0.13622641509433964,0.3007547169811321,0.5615094339622642,23,34,59,57,2,1.0
F015,F045,0.1758490566037736,0.0,0.37584905660377355,0.2516981132075472,0.09433962264150947,23,35,59,59,0,0.9830508474576272
F015,F046,0.3581132075471698,0.0,0.7090566037735849,0.5279245283018867,0.789622641509434,23,20,48,43,5,1.0
F015,F047,0.3543396226415094,0.0,0.6433962264150943,0.5279245283018867,0.14660377358490562,23,23,48,47,1,0.9787234042553191
F015,F048,0.24792452830188683,0.0,0.4996226415094339,0.2516981132075472,0.4420754716981132,23,32,56,55,1,1.0
F015,F049,0.32150943396226417,0.0,0.6211320754716981,0.5279245283018867,0.6722641509433962,23,33,59,56,3,1.0
F015,F050,0.0320754716981132,0.0,0.009811320754717023,0.18452830188679248,0.5615094339622642,23,27,52,50,2,1.0
F015,F051,0.1924528301886792,0.0,0.28113207547169816,0.2516981132075472,0.6722641509433962,23,33,59,56,3,1.0
F015,F052,0.2788679245283019,0.0,0.49283018867924533,0.2516981132075472,0.5615094339622642,23,27,52,50,2,1.0
F016,F017,0.9584905660377359,0.8509166882080255,0.7143396226415094,0.9864150943396226,0.7460377358490566,25,27,56,52,4,1.0
F016,F018,0.9916981132075472,0.9214659914754009,0.8694339622641509,0.6003773584905661,0.7460377358490566,25,37,66,62,4,1.0
F016,F019,0.9158490566037736,0.7937898582911843,0.8377358490566038,0.3886792452830189,0.6722641509433962,25,44,72,69,3,1.0
F016,F020,0.9833962264150944,1.0,0.9226415094339623,0.9864150943396226,0.7460377358490566,25,46,75,71,4,1.0
F016,F021,0.689811320754717,0.07853400852459914,0.7860377358490566,0.6003773584905661,0.6722641509433962,25,51,79,76,3,1.0
F016,F022,0.9694339622641509,1.0,0.9513207547169811,0.8784905660377358,0.7460377358490566,25,46,75,71,4,1.0
F016,F023,0.5045283018867924,0.07853400852459914,0.2724528301886793,0.07509433962264156,0.8047169811320755,25,25,56,50,6,1.0
F016,F024,0.8026415094339623,0.23871436012781846,0.8026415094339623,0.3007547169811321,0.789622641509434,25,29,59,54,5,1.0
F016,F025,0.6973584905660377,0.07853400852459914,0.9226415094339623,0.659622641509434,0.789622641509434,25,26,56,51,5,1.0
F016,F026,0.9739622641509434,1.0,0.7656603773584906,0.3886792452830189,0.4939622641509434,25,33,63,59,4,0.9830508474576272
F016,F027,0.8226415094339623,0.23871436012781846,0.9724528301886792,0.9592452830188679,0.6722641509433962,25,35,63,60,3,1.0
F016,F028,0.7686792452830189,0.4807360643988245,0.45358490566037735,0.16150943396226414,0.2888679245283019,25,28,56,54,2,0.9814814814814815
F016,F029,0.7532075471698113,0.23871436012781846,0.8456603773584905,0.659622641509434,0.27433962264150946,25,24,52,50,2,0.98
F016,F030,0.9158490566037736,0.7765772544434841,0.8377358490566038,0.9864150943396226,0.789622641509434,25,26,56,51,5,1.0
F016,F031,0.5509433962264151,0.07853400852459914,0.48226415094339625,0.12943396226415094,0.789622641509434,25,29,59,54,5,1.0
F016,F032,0.500754716981132,0.07853400852459914,0.22415094339622643,0.07509433962264156,0.7460377358490566,25,30,59,55,4,1.0
F016,F033,0.8573584905660377,0.7937898582911843,0.4996226415094339,0.3007547169811321,0.6722641509433962,25,31,59,56,3,1.0
F016,F034,0.7483018867924529,0.7128066391855593,0.3426415094339622,0.07509433962264156,0.7460377358490566,25,37,66,62,4,1.0
F016,F035,0.6075471698113207,0.07853400852459914,0.30679245283018863,0.07509433962264156,0.4941509433962264,25,21,52,47,5,0.9787234042553191
F016,F036,0.6203773584905661,0.07853400852459914,0.8215094339622642,0.659622641509434,0.7460377358490566,25,42,71,67,4,1.0
F016,F037,0.10415094339622644,0.0,0.032830188679245254,0.0022641509433962703,0.2888679245283019,25,28,56,54,2,0.9814814814814815
F016,F038,0.3173584905660377,0.0,0.28113207547169816,0.12943396226415094,0.6722641509433962,25,31,59,56,3,1.0
F016,F039,0.38792452830188684,0.0,0.6079245283018868,0.459622641509434,0.7460377358490566,25,34,63,59,4,1.0
F016,F040,0.1384905660377358,0.0,0.05962264150943397,0.012830188679245236,0.7460377358490566,25,27,56,52,4,1.0
F016,F041,0.23245283018867924,0.0,0.19396226415094342,0.0252830188679245,0.4941509433962264,25,21,52,47,5,0.9787234042553191
F016,F042,0.10528301886792457,0.0,0.026037735849056554,0.007547169811320753,0.789622641509434,25,26,56,51,5,1.0
F016,F043,0.21320754716981127,0.0,0.1316981132075472,0.0252830188679245,0.7460377358490566,25,30,59,55,4,1.0
F016,F044,0.17924528301886788,0.0,0.10377358490566035,0.12943396226415094,0.7460377358490566,25,34,63,59,4,1.0
F016,F045,0.26415094339622647,0.0,0.2671698113207547,0.053584905660377324,0.6722641509433962,25,35,63,60,3,1.0
F016,F046,0.4966037735849057,0.0,0.6822641509433962,0.5279245283018867,0.48754716981132074,25,20,52,47,5,0.9574468085106383
F016,F047,0.49094339622641514,0.0,0.5049056603773585,0.16150943396226414,0.7460377358490566,25,23,52,48,4,1.0
F016,F048,0.3543396226415094,0.0,0.35245283018867923,0.053584905660377324,0.6722641509433962,25,32,60,57,3,1.0
F016,F049,0.44528301886792454,0.0,0.5313207547169811,0.16150943396226414,0.4939622641509434,25,33,63,59,4,0.9830508474576272
F016,F050,0.06679245283018864,0.0,0.004150943396226459,0.03698113207547171,0.7460377358490566,25,27,56,52,4,1.0
F016,F051,0.28113207547169816,0.0,0.21132075471698109,0.053584905660377324,0.4939622641509434,25,33,63,59,4,0.9830508474576272
F016,F052,0.3935849056603774,0.0,0.3275471698113207,0.053584905660377324,0.7460377358490566,25,27,56,52,4,1.0
F017,F018,0.9030188679245283,0.9294506967326246,0.48226415094339625,0.6003773584905661,0.5615094339622642,27,37,66,64,2,1.0
F017,F019,0.8200000000000001,0.7152558497665851,0.459622641509434,0.3886792452830189,0.4420754716981132,27,44,72,71,1,1.0
F017,F020,0.9584905660377359,0.8509166882080255,0.9060377358490566,0.9864150943396226,0.5615094339622642,27,46,75,73,2,1.0
F017,F021,0.6486792452830188,0.0,0.42000000000000004,0.6003773584905661,0.4420754716981132,27,51,79,78,1,1.0
F017,F022,0.8781132075471698,0.8509166882080255,0.5611320754716982,0.8784905660377358,0.5615094339622642,27,46,75,73,2,1.0
F017,F023,0.4581132075471698,0.0,0.17320754716981135,0.07509433962264156,0.7460377358490566,27,25,56,52,4,1.0
F017,F024,0.7335849056603774,0.16018035160321933,0.4286792452830188,0.3007547169811321,0.6722641509433962,27,29,59,56,3,1.0
F017,F025,0.6664150943396226,0.0,0.6377358490566039,0.659622641509434,0.2888679245283019,27,26,56,54,2,0.9814814814814815
F017,F026,0.860754716981132,0.8509166882080255,0.40452830188679245,0.3886792452830189,0.6722641509433962,27,33,63,60,3,1.0
F017,F027,0.7811320754716982,0.16018035160321933,0.7143396226415094,0.9592452830188679,0.4420754716981132,27,35,63,62,1,1.0
F017,F028,0.7392452830188679,0.5592700729234237,0.25433962264150944,0.16150943396226414,0.4420754716981132,27,28,56,55,1,1.0
F017,F029,0.6973584905660377,0.16018035160321933,0.4660377358490566,0.659622641509434,0.4420754716981132,27,24,52,51,1,1.0
F017,F030,0.9739622641509434,0.9256605662354588,0.9569811320754718,0.9864150943396226,0.2888679245283019,27,26,56,54,2,0.9814814814814815
F017,F031,0.5075471698113208,0.0,0.2656603773584906,0.12943396226415094,0.6722641509433962,27,29,59,56,3,1.0
F017,F032,0.44528301886792454,0.0,0.1433962264150943,0.07509433962264156,0.5615094339622642,27,30,59,57,2,1.0
F017,F033,0.7532075471698113,0.7152558497665851,0.2750943396226415,0.3007547169811321,0.09433962264150947,27,31,59,59,0,0.9830508474576272
F017,F034,0.6581132075471698,0.6342726306609602,0.21320754716981127,0.07509433962264156,0.5615094339622642,27,37,66,64,2,1.0
F017,F035,0.5460377358490567,0.0,0.19056603773584901,0.07509433962264156,0.7460377358490566,27,21,52,48,4,1.0
F017,F036,0.5932075471698113,0.0,0.4766037735849057,0.659622641509434,0.5615094339622642,27,42,71,69,2,1.0
F017,F037,0.09396226415094344,0.0,0.011698113207547212,0.0022641509433962703,0.4420754716981132,27,28,56,55,1,1.0
